	5QBDM2ESPNATXXX0494	5QBDM2ESPPOOBXX0490	BR5r-M2-ESP-POO-B-XX-1621	BR5rM2ESPNATXXX1625	MvvQ-M2-ESP-POO-A-XX-1616	MvvQM2ESPNATXXX1620	TZEpM2ESPNATXXX0504	TZEpM2ESPPOOAXX0500
Streptomyces.spectabilis	22467	10135	37261	20667	17588	14188	5889	9725
Streptomyces.griseoviridis	21940	7127	25197	12746	12196	10250	4019	6580
Streptomyces.ficellus	22094	6515	24351	11469	10711	8950	3920	5883
Streptomyces.antibioticus	21265	6396	22438	11131	11454	9210	3520	5914
Streptomyces.nitrosporeus	20324	4810	16443	8337	7715	6362	2770	4536
Streptomyces.griseochromogenes	19889	6567	23072	10869	11164	8907	3683	5965
Streptomyces.leeuwenhoekii	24466	4283	14913	7638	7448	5737	2198	3745
Streptomyces.armeniacus	17924	7882	29768	14829	14305	11710	5245	7665
Streptomyces.roseirectus	18980	8333	28253	14088	22004	10943	4769	7330
Streptomyces.genisteinicus	19287	7195	26517	13238	12570	9937	4294	6941
Streptomyces.avermitilis	19029	6260	21721	9942	10808	8754	3314	5820
Streptomyces.nodosus	18369	5126	18867	8716	9069	8054	2946	4902
Streptomyces.deccanensis	20338	6617	26234	9869	10524	8067	2984	5952
Streptomyces.xanthii	17982	7803	27432	13763	12702	10799	4697	7315
Streptomyces.dangxiongensis	18498	4833	17942	8828	8381	7240	3071	4641
Streptomyces.cattleya	17262	8415	30814	15190	14775	12190	5636	8219
Streptomyces.fodineus	18036	5442	19409	9264	9349	7710	3157	5085
Streptomyces.dengpaensis	17172	6049	22812	9103	11599	7937	3079	5478
Streptomyces.xinghaiensis	17097	6865	24633	12729	11634	9497	4238	6734
Streptomyces.phaeolivaceus	17216	6109	21281	10165	10567	8069	3220	5688
Streptomyces.collinus	20324	7574	25086	12440	12208	10129	4201	6554
Streptomyces.rimosus	31281	7987	50791	25891	44659	32452	12039	23644
Streptomyces.durmitorensis	15621	6577	22792	11163	10668	8630	3544	6081
Streptomyces.alboflavus	16092	6986	24113	12563	11641	9244	3925	6192
Streptomyces.peucetius	15886	6892	25738	9513	9522	6749	2976	5088
Streptomyces.vietnamensis	16140	6966	25283	12045	11939	10384	4470	6741
Streptomyces.globosus	16075	7241	24201	12242	13041	9954	4067	7173
Streptomyces.broussonetiae	15699	5383	19455	9494	9763	7818	3151	4918
Streptomyces.harbinensis	15242	5763	21073	11501	9769	7883	3462	5566
Streptomyces.aureoverticillatus	15260	6614	22922	11767	11290	8796	3821	6032
Streptomyces.incarnatus	15552	5177	18921	9016	9132	7750	2972	4884
Streptomyces.atratus	14278	5225	17744	8610	8501	6580	2828	4807
Streptomyces.cyaneogriseus	19397	4134	14623	7515	6869	5559	2053	3798
Streptomyces.pristinaespiralis	15877	5511	20902	10162	9788	7564	3237	5339
Streptomyces.clavuligerus	14359	6287	22554	11400	10693	8545	3769	6067
Streptomyces.lunaelactis	14135	5890	22070	9407	10567	7435	3184	5611
Streptomyces.exfoliatus	15118	5857	22539	10400	10574	7915	3399	5728
Streptomyces.cyanogenus	15712	4902	17200	8499	8270	7206	2936	4499
Streptomyces.paludis	13780	6135	21554	10901	10077	7939	3424	5660
Streptomyces.liangshanensis	13822	6340	22428	11253	10437	8719	3962	5864
Streptomyces.roseochromogenus	14362	5490	18606	8775	9293	7076	2942	4853
Streptomyces.albulus	13915	6945	24801	12375	11857	9500	4094	6542
Streptomyces.tirandamycinicus	14099	4770	17333	8623	8439	6531	2819	4504
Streptomyces.olivoreticuli	12946	6229	22550	10805	10662	8466	3864	5987
Streptomyces.griseocarneus	13106	6314	23102	11736	10914	8925	4036	6162
Streptomyces.rectiverticillatus	12792	6177	23298	11558	11496	8901	3814	6264
Streptomyces.luteoverticillatus	12689	6439	22812	11388	11011	8693	4021	6107
Streptomyces.pluripotens	11921	3764	13389	6089	6619	5042	2172	3480
Streptomyces.lavendulae	12685	5938	21662	10965	10172	8369	3544	5627
Streptomyces.pratensis	11966	4121	14884	7686	7202	5733	2520	3981
Streptomyces.hundungensis	11927	5149	19196	9089	8895	7125	3157	4914
Streptomyces.spongiicola	12437	4853	16827	8190	8207	6368	2851	4345
Streptomyces.katrae	12008	5676	20392	10124	9709	8055	3566	5566
Streptomyces.subrutilus	11959	5702	20899	10968	9968	8327	3718	5630
